dataset,noise,trial,algorithm,mu,lam_step,accuracy,frobenius,gt_frobenius
euroroad,10,0,fugal_init,0.0,1.0,0.114991,4864.0,248.0
euroroad,10,0,fugal_init,1.0,1.0,0.839864,508.0,248.0
euroroad,10,0,fugal_init,2.0,1.0,0.81431,472.0,248.0
euroroad,10,0,fugal_init,3.0,1.0,0.825383,440.0,248.0
euroroad,10,1,fugal_init,0.0,1.0,0.11414,4814.0,258.0
euroroad,10,1,fugal_init,1.0,1.0,0.773424,634.0,258.0
euroroad,10,1,fugal_init,2.0,1.0,0.771721,582.0,258.0
euroroad,10,1,fugal_init,3.0,1.0,0.755537,622.0,258.0
euroroad,10,2,fugal_init,0.0,1.0,0.146508,4858.0,206.0
euroroad,10,2,fugal_init,1.0,1.0,0.827939,542.0,206.0
euroroad,10,2,fugal_init,2.0,1.0,0.815162,486.0,206.0
euroroad,10,2,fugal_init,3.0,1.0,0.815162,430.0,206.0
euroroad,15,0,fugal_init,0.0,1.0,0.072402,4878.0,358.0
euroroad,15,0,fugal_init,1.0,1.0,0.448893,1818.0,358.0
euroroad,15,0,fugal_init,2.0,1.0,0.66184,890.0,358.0
euroroad,15,0,fugal_init,3.0,1.0,0.591141,1006.0,358.0
euroroad,15,1,fugal_init,0.0,1.0,0.056218,4904.0,360.0
euroroad,15,1,fugal_init,1.0,1.0,0.677172,1080.0,360.0
euroroad,15,1,fugal_init,2.0,1.0,0.666951,872.0,360.0
euroroad,15,1,fugal_init,3.0,1.0,0.621806,980.0,360.0
euroroad,15,2,fugal_init,0.0,1.0,0.06644,4910.0,310.0
euroroad,15,2,fugal_init,1.0,1.0,0.65247,1022.0,310.0
euroroad,15,2,fugal_init,2.0,1.0,0.678876,850.0,310.0
euroroad,15,2,fugal_init,3.0,1.0,0.637138,934.0,310.0
euroroad,20,0,fugal_init,0.0,1.0,0.041738,4884.0,464.0
euroroad,20,0,fugal_init,1.0,1.0,0.33816,2104.0,464.0
euroroad,20,0,fugal_init,2.0,1.0,0.297274,1860.0,464.0
euroroad,20,0,fugal_init,3.0,1.0,0.243612,1848.0,464.0
euroroad,20,1,fugal_init,0.0,1.0,0.051959,4796.0,464.0
euroroad,20,1,fugal_init,1.0,1.0,0.540886,1580.0,464.0
euroroad,20,1,fugal_init,2.0,1.0,0.537479,1348.0,464.0
euroroad,20,1,fugal_init,3.0,1.0,0.448893,1436.0,464.0
euroroad,20,2,fugal_init,0.0,1.0,0.025554,4858.0,418.0
euroroad,20,2,fugal_init,1.0,1.0,0.344123,2030.0,418.0
euroroad,20,2,fugal_init,2.0,1.0,0.359455,1626.0,418.0
euroroad,20,2,fugal_init,3.0,1.0,0.397785,1578.0,418.0
euroroad,5,0,fugal_init,0.0,1.0,0.333901,4390.0,122.0
euroroad,5,0,fugal_init,1.0,1.0,0.884157,198.0,122.0
euroroad,5,0,fugal_init,2.0,1.0,0.903748,174.0,122.0
euroroad,5,0,fugal_init,3.0,1.0,0.901193,158.0,122.0
euroroad,5,1,fugal_init,0.0,1.0,0.38075,4002.0,126.0
euroroad,5,1,fugal_init,1.0,1.0,0.892675,278.0,126.0
euroroad,5,1,fugal_init,2.0,1.0,0.890971,254.0,126.0
euroroad,5,1,fugal_init,3.0,1.0,0.878194,250.0,126.0
euroroad,5,2,fugal_init,0.0,1.0,0.38586,4046.0,102.0
euroroad,5,2,fugal_init,1.0,1.0,0.882453,238.0,102.0
euroroad,5,2,fugal_init,2.0,1.0,0.862862,246.0,102.0
euroroad,5,2,fugal_init,3.0,1.0,0.876491,254.0,102.0
