dataset,noise,trial,algorithm,mu,accuracy,frobenius,gt_frobenius,time_sec
voles,15,2,Fugal_init,0.1,0.921459,660.0,632.0,36.11
voles,15,2,Fugal_init,0.25,0.925666,652.0,632.0,36.78
voles,15,2,Fugal_init,0.5,0.927069,648.0,632.0,36.75
voles,15,2,Fugal_init,1,0.927069,664.0,632.0,37.24
voles,15,2,Fugal_init,1.5,0.922861,688.0,632.0,37.2
voles,15,2,Fugal_init,2,0.915849,700.0,632.0,37.39
voles,15,2,Fugal_init,2.5,0.899018,760.0,632.0,37.46
voles,15,2,Fugal_init,3,0.892006,796.0,632.0,37.4
voles,15,2,QAP,,0.056101,4360.0,632.0,1.42
voles,15,2,QAP_init,,0.927069,632.0,632.0,0.19
voles,20,0,Fugal,,0.913043,938.0,874.0,35.18
voles,20,0,Fugal_init,0.05,0.830295,1538.0,874.0,33.46
voles,20,0,Fugal_init,0.1,0.927069,906.0,874.0,34.0
voles,20,0,Fugal_init,0.25,0.900421,906.0,874.0,35.73
voles,20,0,Fugal_init,0.5,0.896213,938.0,874.0,36.34
voles,20,0,Fugal_init,1,0.880785,958.0,874.0,36.52
voles,20,0,Fugal_init,1.5,0.879383,1002.0,874.0,37.12
voles,20,0,Fugal_init,2,0.859748,1070.0,874.0,37.01
voles,20,0,Fugal_init,2.5,0.848527,1110.0,874.0,36.98
voles,20,0,Fugal_init,3,0.840112,1158.0,874.0,37.05
voles,20,0,QAP,,0.075736,4178.0,874.0,1.52
voles,20,0,QAP_init,,0.915849,894.0,874.0,0.3
voles,20,1,Fugal,,0.879383,1062.0,934.0,35.14
voles,20,1,Fugal_init,0.05,0.754558,1786.0,934.0,33.8
voles,20,1,Fugal_init,0.1,0.800842,1350.0,934.0,34.08
voles,20,1,Fugal_init,0.25,0.88359,994.0,934.0,35.87
voles,20,1,Fugal_init,0.5,0.890603,986.0,934.0,36.47
voles,20,1,Fugal_init,1,0.884993,1010.0,934.0,36.72
voles,20,1,Fugal_init,1.5,0.882188,1022.0,934.0,36.97
voles,20,1,Fugal_init,2,0.873773,1058.0,934.0,36.86
voles,20,1,Fugal_init,2.5,0.856942,1118.0,934.0,36.88
voles,20,1,Fugal_init,3,0.847125,1154.0,934.0,36.78
voles,20,1,QAP,,0.01122,4438.0,934.0,1.44
voles,20,1,QAP_init,,0.907433,934.0,934.0,0.27
voles,20,2,Fugal,,0.887798,938.0,854.0,35.75
voles,20,2,Fugal_init,0.05,0.795231,1466.0,854.0,33.86
voles,20,2,Fugal_init,0.1,0.870968,998.0,854.0,34.64
voles,20,2,Fugal_init,0.25,0.896213,886.0,854.0,36.5
voles,20,2,Fugal_init,0.5,0.893408,918.0,854.0,36.66
voles,20,2,Fugal_init,1,0.894811,934.0,854.0,36.79
voles,20,2,Fugal_init,1.5,0.875175,1018.0,854.0,36.69
voles,20,2,Fugal_init,2,0.868163,1030.0,854.0,37.05
voles,20,2,Fugal_init,2.5,0.859748,1058.0,854.0,37.21
voles,20,2,Fugal_init,3,0.848527,1094.0,854.0,37.32
voles,20,2,QAP,,0.029453,4394.0,854.0,1.75
voles,20,2,QAP_init,,0.901823,866.0,854.0,0.33
