dataset,noise,trial,algorithm,accuracy,frobenius,gt_frobenius,time_sec,,
highschool,15,0,QAP_init,1,1764,1764,0.87,,
highschool,15,1,Fugal,1,1706,1706,15.64,,
highschool,15,1,Fugal_init,1,1706,1706,16.17,,
highschool,15,1,QAP,0.379205,8282,1706,10.85,,
highschool,15,1,QAP_init,1,1706,1706,1.01,,
highschool,15,2,Fugal,1,1714,1714,15.79,,
highschool,15,2,Fugal_init,1,1714,1714,16,,
highschool,15,2,QAP,0.571865,6974,1714,11.05,,
highschool,15,2,QAP_init,1,1714,1714,0.95,,
highschool,20,0,Fugal,1,2296,2296,15.73,,
highschool,20,0,Fugal_init,1,2296,2296,15.64,,
highschool,20,0,QAP,0.030581,9176,2296,1.95,,
highschool,20,0,QAP_init,1,2296,2296,0.07,,
highschool,20,1,Fugal,1,2304,2304,16.07,,
highschool,20,1,Fugal_init,1,2304,2304,16.14,,
highschool,20,1,QAP,0.336391,8176,2304,0.38,,
highschool,20,1,QAP_init,1,2304,2304,0.09,,
highschool,20,2,Fugal,1,2278,2278,16.08,,
highschool,20,2,Fugal_init,1,2278,2278,15.86,,
highschool,20,2,QAP,0.486239,7258,2278,0.34,,
highschool,20,2,QAP_init,1,2278,2278,0.09,,
voles,0,0,Fugal,0.963534,0,0,37.06,,
voles,0,0,Fugal_init,0.943899,0,0,332.66,,
voles,0,0,QAP,0.793829,540,0,8.83,,
voles,0,0,QAP_init,0.941094,0,0,295.16,,
voles,0,1,Fugal,0.939691,0,0,37.42,,
voles,0,1,Fugal_init,0.956522,0,0,237.62,,
voles,0,1,QAP,0.671809,952,0,1.44,,
voles,0,1,QAP_init,0.955119,0,0,199.99,,
voles,0,2,Fugal,0.941094,0,0,37.5,,
voles,0,2,Fugal_init,0.939691,0,0,269.76,,
voles,0,2,QAP,0.607293,1112,0,1.5,,
voles,0,2,QAP_init,0.941094,0,0,232.36,,
voles,5,0,Fugal,0.957924,222,222,37.01,,
voles,5,0,Fugal_init,0.955119,222,222,333.89,,
voles,5,0,QAP,0.137447,4262,222,16.18,,
voles,5,0,QAP_init,0.949509,222,222,297.94,,
voles,5,1,Fugal,0.927069,252,252,38.15,,
voles,5,1,Fugal_init,0.939691,252,252,1001.01,,
voles,5,1,QAP,0.025245,4764,252,1.57,,
voles,5,1,QAP_init,0.943899,252,252,963.58,,
voles,5,2,Fugal,0.939691,176,168,38.12,,
voles,5,2,Fugal_init,0.941094,168,168,645.67,,
voles,5,2,QAP,0.346424,2948,168,13.24,,
voles,5,2,QAP_init,0.943899,168,168,609.83,,
voles,10,0,Fugal,0.943899,460,440,37.59,,
voles,10,0,Fugal_init,0.945302,456,440,567.91,,
voles,10,0,QAP,0.284712,3288,440,16.5,,
voles,10,0,QAP_init,0.943899,440,440,532.12,,
voles,10,1,Fugal,0.935484,476,460,38.09,,
voles,10,1,Fugal_init,0.922861,476,460,483.74,,
voles,10,1,QAP,0.050491,4424,460,12.2,,
voles,10,1,QAP_init,0.941094,460,460,446.27,,
voles,10,2,Fugal,0.927069,400,364,37.3,,
voles,10,2,Fugal_init,0.936886,380,364,440.51,,
voles,10,2,QAP,0.152875,3916,364,15.82,,
voles,10,2,QAP_init,0.941094,364,364,404.24,,
voles,15,0,Fugal,0.929874,730,678,36.1,,
voles,15,0,Fugal_init,0.921459,714,678,382.54,,
voles,15,0,QAP,0.015428,4462,678,17.35,,
voles,15,0,QAP_init,0.938289,686,678,347.82,,
voles,15,1,Fugal,0.921459,718,698,36.33,,
voles,15,1,Fugal_init,0.932679,718,698,957.59,,
voles,15,1,QAP,0.02805,4366,698,13.2,,
voles,15,1,QAP_init,0.941094,698,698,921.91,,
voles,15,2,Fugal,0.900421,684,632,36.72,,
